Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
46,91608.82642264193,183505.40994713295,43496.307125951294,130467.84554267235,NA,NA,277787161.48370117,1510232298.911107,332023.4000154935,582662.2462280856,84734.9454304963,185445.2807347096,65420.231880538806,146979.22853348035
47,91608.79193855044,183505.4271618984,43496.307125951294,130467.84554267235,NA,NA,281893257.88850766,1519166739.24122,332023.4000154935,582662.2462280856,43491.78718432994,137526.77218067515,43491.77980291361,137526.77477429638
48,91608.72440269415,183505.46087634852,43495.0019535129,130468.28058001434,NA,NA,3960941.6084753685,12300361.456184112,332021.92591898533,582662.7660872459,43491.78718432994,137526.77218067515,NA,NA
49,91608.72440269415,183505.46087634852,43494.944918972404,130468.29959338935,NA,NA,5427958.496800628,22567226.673776668,332021.8070484001,582662.8304899543,43491.71964847366,137526.79591069533,NA,NA
50,91608.72440269415,183505.46087634852,43494.944918972404,130468.29959338935,NA,NA,9472989.473815609,38860817.756792,283318.3618364817,472705.6323714732,43491.71946025248,137526.7959768309,NA,NA
51,43491.72070261649,130469.37396349004,43494.944918972404,130468.29959338935,NA,NA,1222449.910546686,926552.9182944392,263859.21441335994,429641.5372930455,43491.718895588965,137526.79617523766,NA,NA
52,43491.72070261649,130469.37396349004,43494.76564877286,130468.35935538299,NA,NA,6171156.90477311,26829922.950283214,263832.64625681133,429594.332022458,43491.71769050908,137526.796598668,NA,NA
53,43491.71226705732,130469.37677539926,43494.76564877286,130468.35935538299,NA,NA,3912319.752603436,15969415.562537894,263823.99332687346,429599.57677205495,43491.67742359984,137526.8107469013,NA,NA
54,43491.71226705732,130469.37677539926,43494.76564877286,130468.35935538299,43491.65289100651,137526.81936722365,3015150.5765390904,8865626.999128733,220419.99453106875,426915.35477522376,43491.668774655765,137526.81378587114,43491.65289100651,137526.81936722365
55,43491.65289100651,130469.39656769502,43494.76564877286,130468.35935538299,NA,NA,3093224.2357719843,11766109.037690816,86183.33275233248,145376.42834198533,43491.61988790677,137526.83096314655,NA,NA
56,43491.65289100651,130469.39656769502,4.883602360254394,10.078016058727489,NA,NA,939377.1396392478,907210.7132372516,86183.30172182513,145376.44872075832,43491.61988790677,137526.83096314655,NA,NA
57,1.7700649345912836,1.5762348819768144,4.883602360254394,10.078016058727489,NA,NA,2259699.6000831816,8428972.493891528,86183.2009863322,145376.51783624775,1.7342447814461868,1.6457188687097448,NA,NA
58,43491.61824891636,130469.40811489355,4.812358013233196,10.102670131289772,NA,NA,824395.494306863,951081.9547703442,83036.70568979514,135456.86716612816,1.7342447814461868,1.6457188687097448,NA,NA
59,1.0788787692039619,0.21183004034045694,4.812358013233196,10.102670131289772,NA,NA,2139592.0712963757,8404935.518697571,83036.70568979514,135456.86716612816,1.6731781982851588,1.6597658604614745,NA,NA
60,43491.616862416726,130469.40857706867,4.812358013233196,10.102670131289772,NA,NA,779795.0611626043,878979.1854950587,83036.68506834588,135456.88231163836,1.6630004344249876,1.6621070257534294,NA,NA
61,1.533117724631614,1.5673232915761055,4.718312042175252,10.129384347611808,NA,NA,532642.1047116173,761170.0100275815,83036.68506834588,135456.88231163836,1.6630004344249876,1.6621070257534294,NA,NA
62,1.215220724833252,0.436057637613425,4.718312042175252,10.129384347611808,NA,NA,475645.139424074,742539.2576526221,83036.62077717598,135456.92604575888,1.5689544633670445,1.6446730459024315,NA,NA
63,1.1395203339880473,0.40758960422208457,4.718312042175252,10.129384347611808,NA,NA,486600.644171088,823401.7075159474,83036.62077717598,135456.92604575888,1.5689544633670445,1.6446730459024315,NA,NA
64,1.1368614687306395,0.40840354038423005,4.718312042175252,10.129384347611808,NA,NA,305208.78621392365,622996.7317548564,83036.62077717598,135456.92604575888,1.5689544633670445,1.6446730459024315,1,0
65,1,0,4.676152207748052,10.143884962562835,NA,NA,307428.40172183746,690783.7717713966,28547.82740048696,90235.37966789717,1.5689544633670445,1.6446730459024315,NA,NA
66,1,0,4.675741246034659,10.144033703625217,NA,NA,81476.64158016558,282254.8713932386,28543.48295893376,90235.74219256152,1.5267946289398444,1.6542459071003077,3.5639420821770567,6.624890293435382
67,1,0,1,0,NA,NA,1,0,1,0,1,0,1.8822623225980426,2.7899584331600584
