Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
11,115527.26784091748,346575.80268541607,1.5274383649700323,0.9054053229020839,NA,NA,15012001170415636e7,6788462000085989e8,34742054273150574e8,12207113574884526e8,2.1791509234511386,2.7086337030530996,NA,NA
12,1.52953090808395,0.9041952066640366,1.5274383649700323,0.9054053229020839,NA,NA,8578287790570635e7,3981546038794843e8,1628372950982103.5,3503059071421689,1.5631295339719262,0.9470664822204167,1.7779642834999951,1.1105228739326491
13,1.52953090808395,0.9041952066640366,1.5274383649700323,0.9054053229020839,NA,NA,6433715831175726e7,3523891019414616e8,1555028614193498.5,3492857609243917.5,1.528490448664817,0.9537398351905064,1.52953090808395,0.9531054341550046
14,1.5274383649700323,0.9054053229020839,1.5274383649700323,0.9054053229020839,1.5274383649700323,0.9543810086702658,6572681970469947,21501998818283200,1555028614193498.5,3492857609243917.5,1.5274383649700323,0.9543810086702658,1.5274383649700323,0.9543810086702658
15,1.5274383649700323,0.9054053229020839,1.5274383649700323,0.9054053229020839,NA,NA,21445715690614956e6,11746300998685729e7,1555028614193498.5,3492857609243917.5,1.5274383649700323,0.9543810086702658,NA,NA
16,1.5274383649700323,0.9054053229020839,1.5274383649700323,0.9054053229020839,NA,NA,4373209695312242.5,12091871340608580,1555028614193498.5,3492857609243917.5,1.5274383649700323,0.9543810086702658,NA,NA
17,1.38420373700258,0.9073533940671897,1.5274383649700323,0.9054053229020839,NA,NA,4143097200070998.5,12692239303412010,1555028614193498.5,3492857609243917.5,1.5274383649700323,0.9543810086702658,NA,NA
18,1.4432346279674522,0.9113673238054156,1.5274383649700323,0.9054053229020839,NA,NA,2049995658958904,2140152956944574.7,1239776640277563.7,2820095145206977,1.5274383649700323,0.9543810086702658,NA,NA
19,1.4065934065934065,0.9210338457443579,1.5274383649700323,0.9054053229020839,NA,NA,3498224624852313.5,11583781017256220,1193453901253181.5,2813638659896702,1.5274383649700323,0.9543810086702658,NA,NA
20,1.4208449583766256,0.8984531180305352,1.5274383649700323,0.9054053229020839,NA,NA,1176940702704652,1579029830160417,1193453901253181.5,2813638659896702,1.5274383649700323,0.9543810086702658,NA,NA
21,1.0366412213740457,0.10992366412213739,1.5274383649700323,0.9054053229020839,NA,NA,1363303944447252.5,1756437828380921.5,1035827914295214,2550273059805747.5,1.5274383649700323,0.9543810086702658,NA,NA
22,1.1065934065934067,0.31978021978021975,1.5274383649700323,0.9054053229020839,NA,NA,1279236751387124.5,1848947642549101.5,459367161991790.6,1029126988024971,1.5274383649700323,0.9543810086702658,NA,NA
23,1.38420373700258,0.9073533940671897,1.5274383649700323,0.9054053229020839,NA,NA,1236345326330027,1946208810335682.7,459367161991790.6,1029126988024971,1.5274383649700323,0.9543810086702658,NA,NA
24,1.4907971435959866,0.9185000818627563,1.4432346279674522,0.9113673238054156,NA,NA,1025962886633929.6,1527906665045242.7,459367161991790.6,1029126988024971,1.4432346279674522,0.9606655094257691,NA,NA
25,1.3,0.9000000000000001,1.4432346279674522,0.9113673238054156,NA,NA,1204820128954312.7,1755294903298541.2,459367161991790.6,1029126988024971,1.4432346279674522,0.9606655094257691,NA,NA
26,1,0,1.4432346279674522,0.9113673238054156,NA,NA,699130227972902.1,1227125710627473,459367161991790.6,1029126988024971,1.4432346279674522,0.9606655094257691,NA,NA
27,1,0,1.4432346279674522,0.9113673238054156,NA,NA,519629614263799.3,1083639663171668.1,459367161991790.6,1029126988024971,1.4432346279674522,0.9606655094257691,NA,NA
28,1,0,1.4432346279674522,0.9113673238054156,NA,NA,360931341624125.25,883625127954568.1,459367161991790.6,1029126988024971,1.4432346279674522,0.9606655094257691,NA,NA
29,1,0,1,0,NA,NA,268929234940321.44,720842543631304.6,432345564227567.6,1037067294465328.4,1,0,1.2204851752021564,0.6761576193172286
30,1,0,1,0,NA,NA,158912729752536.75,550369382331989.7,58546796773726.06,60235350978392.18,1,0,NA,NA
31,1,0,1,0,NA,NA,1,0,1,0,1,0,1,0
